Year,Water_Level_m,Surface_Area_km2,Volume_km3
1984,42.75,44.92,487.66
1985,41.94,43.08,444.58
1986,41.01,41.39,403.1
1987,40.23,39.94,365.56
1988,39.73,38.93,334.49
1989,39.18,38.01,327.2
1990,38.41,36.42,302.28
1991,37.88,34.75,278.08
1992,37.44,34.54,260.45
1993,37.13,33.99,250.13
1994,37.15,34.0,249.88
1995,36.84,32.79,239.09
1996,35.92,31.29,217.47
1997,35.42,29.82,196.11
1998,35.14,28.99,195.46
1999,34.2,26.21,159.65
2000,34.15,25.55,158.79
2001,33.14,23.55,149.13
2002,32.89,21.28,129.28
2003,32.63,19.95,117.0
2004,32.51,19.21,115.85
2005,32.28,18.63,112.31
2006,32.47,16.46,105.35
2007,32.76,14.76,99.84
2008,32.69,11.52,88.5
2009,32.87,10.03,85.08
2010,32.84,11.69,90.15
2011,33.07,9.26,82.5
2012,32.8,9.22,77.61
2013,33.38,8.6,76.11
2014,33.74,7.66,73.13
2015,32.34,9.21,80.17
2016,32.96,7.22,74.51
2017,32.19,8.35,73.51
2018,32.48,6.99,69.31
