Year,Month,Temperature
1961,I,-10.7
1962,I,-10.7
1963,I,-10.7
1964,I,-10.7
1965,I,-10.7
1961,II,-11.0
1962,II,-11.0
1963,II,-11.0
1964,II,-11.0
1965,II,-11.0
1961,III,-1.6
1962,III,-1.6
1963,III,-1.6
1964,III,-1.6
1965,III,-1.6
1961,IV,7.9
1962,IV,7.9
1963,IV,7.9
1964,IV,7.9
1965,IV,7.9
1961,V,18.5
1962,V,18.5
1963,V,18.5
1964,V,18.5
1965,V,18.5
1961,VI,18.6
1962,VI,18.6
1963,VI,18.6
1964,VI,18.6
1965,VI,18.6
1961,VII,26.5
1962,VII,26.5
1963,VII,26.5
1964,VII,26.5
1965,VII,26.5
1961,VIII,23.1
1962,VIII,23.1
1963,VIII,23.1
1964,VIII,23.1
1965,VIII,23.1
1961,IX,16.9
1962,IX,16.9
1963,IX,16.9
1964,IX,16.9
1965,IX,16.9
1961,X,7.9
1962,X,7.9
1963,X,7.9
1964,X,7.9
1965,X,7.9
1961,XI,1.0
1962,XI,1.0
1963,XI,1.0
1964,XI,1.0
1965,XI,1.0
1961,XII,-6.7
1962,XII,-6.7
1963,XII,-6.7
1964,XII,-6.7
1965,XII,-6.7
1966,I,-13.8
1967,I,-13.8
1968,I,-13.8
1969,I,-13.8
1970,I,-13.8
1966,II,-12.2
1967,II,-12.2
1968,II,-12.2
1969,II,-12.2
1970,II,-12.2
1966,III,-2.0
1967,III,-2.0
1968,III,-2.0
1969,III,-2.0
1970,III,-2.0
1966,IV,10.4
1967,IV,10.4
1968,IV,10.4
1969,IV,10.4
1970,IV,10.4
1966,V,17.8
1967,V,17.8
1968,V,17.8
1969,V,17.8
1970,V,17.8
1966,VI,23.2
1967,VI,23.2
1968,VI,23.2
1969,VI,23.2
1970,VI,23.2
1966,VII,25.6
1967,VII,25.6
1968,VII,25.6
1969,VII,25.6
1970,VII,25.6
1966,VIII,24.0
1967,VIII,24.0
1968,VIII,24.0
1969,VIII,24.0
1970,VIII,24.0
1966,IX,17.0
1967,IX,17.0
1968,IX,17.0
1969,IX,17.0
1970,IX,17.0
1966,X,7.4
1967,X,7.4
1968,X,7.4
1969,X,7.4
1970,X,7.4
1966,XI,-0.4
1967,XI,-0.4
1968,XI,-0.4
1969,XI,-0.4
1970,XI,-0.4
1966,XII,-9.7
1967,XII,-9.7
1968,XII,-9.7
1969,XII,-9.7
1970,XII,-9.7
1971,I,-14.5
1972,I,-14.5
1973,I,-14.5
1974,I,-14.5
1975,I,-14.5
1971,II,-12.2
1972,II,-12.2
1973,II,-12.2
1974,II,-12.2
1975,II,-12.2
1971,III,-3.9
1972,III,-3.9
1973,III,-3.9
1974,III,-3.9
1975,III,-3.9
1971,IV,10.1
1972,IV,10.1
1973,IV,10.1
1974,IV,10.1
1975,IV,10.1
1971,V,18.3
1972,V,18.3
1973,V,18.3
1974,V,18.3
1975,V,18.3
1971,VI,24.1
1972,VI,24.1
1973,VI,24.1
1974,VI,24.1
1975,VI,24.1
1971,VII,25.9
1972,VII,25.9
1973,VII,25.9
1974,VII,25.9
1975,VII,25.9
1971,VIII,23.5
1972,VIII,23.5
1973,VIII,23.5
1974,VIII,23.5
1975,VIII,23.5
1971,IX,17.7
1972,IX,17.7
1973,IX,17.7
1974,IX,17.7
1975,IX,17.7
1971,X,8.5
1972,X,8.5
1973,X,8.5
1974,X,8.5
1975,X,8.5
1971,XI,0.5
1972,XI,0.5
1973,XI,0.5
1974,XI,0.5
1975,XI,0.5
1971,XII,-5.5
1972,XII,-5.5
1973,XII,-5.5
1974,XII,-5.5
1975,XII,-5.5
1975,I,-10.6
1976,I,-10.6
1977,I,-10.6
1978,I,-10.6
1979,I,-10.6
1980,I,-10.6
1975,II,13.0
1976,II,13.0
1977,II,13.0
1978,II,13.0
1979,II,13.0
1980,II,13.0
1975,III,-3.6
