Year,AmuDarya_Growing_mln_m3,AmuDarya_NonGrowing_mln_m3,AmuDarya_Total_mln_m3,SyrDarya_Growing_mln_m3,SyrDarya_NonGrowing_mln_m3,SyrDarya_Total_mln_m3
1992,23181.0,5155,28336.0,1341.5,3691.2,5032.7
1993,13595.0,6977,20572.0,3387.1,4306.8,7693.9
1994,13990.0,5709,19699.0,3395.3,4900.1,8295.400000000001
1995,1412.0,1934,3346.0,517.3,956.1,1473.4
1996,4871.0,2899,7770.0,927.7,3635.2,4562.9
1997,922.0,1579,2501.0,648.0,2337.0,2985.0
1998,20177.0,4066,24243.0,3534.8,4705.9,8240.7
1999,2574.0,4191,6765.0,2418.7,1657.3,4076.0
2000,614.0,470,1084.0,970.5,2753.4,3723.9
2001,126.0,274,400.0,947.5,1192.7,2140.2
2002,4273.0,3455,7728.0,3622.8,4137.8,7760.6
2003,9134.0,2106,11240.0,4035.3,6079.9,10115.2
2004,4301.0,3356,7657.0,4393.7,6105.6,10499.3
2005,12274.0,4518,16792.0,4035.7,6265.5,10301.2
2006,1528.0,1167,2695.0,2899.0,3453.9,6352.9
2007,1050.0,1230,2280.0,2595.9,4611.7,7207.6
2008,393.1,144,537.1,1310.0,1494.0,2804.0
2009,2649.3,1816,4465.3,2312.0,2775.0,5087.0
2010,17150.0,2483,19633.0,4260.0,5183.0,9443.0
2011,617.0,1048,1665.0,1573.0,2689.0,4262.0
2012,7186.0,3570,10756.0,2054.0,3050.0,5104.0
2013,924.0,938,1862.0,1474.0,3006.0,4480.0
2014,2820.0,990,3810.0,1999.0,3241.0,5240.0
2015,5367.0,2996,8363.0,1231.0,3119.0,4350.0
2016,1404.0,1505,2909.0,1200.0,2762.0,3962.0
2017,9423.0,1411,10834.0,4224.0,3954.0,8178.0
2018,461.0,503,964.0,813.0,1355.0,2168.0
2019,1943.0,2034,3977.0,723.0,1157.0,1880.0
2020,1040.0,1050,2090.0,484.0,704.0,1188.0
2021,626.0,847,1473.0,321.0,202.0,523.0
2022,938.0,1354,2292.0,422.0,1538.0,1960.0
2023,1191.0,1252,2443.0,434.0,1164.0,1598.0
